Inicio;h(n) ;g(n)= ;Destino
"Catedral Católica ""Cristo Rey""";966,97;4;Hotel Colón Palace
"Catedral Católica ""Cristo Rey""";1230;5;Museo Regional de Arqueología
"Catedral Católica ""Cristo Rey""";1610;6;"Malecón ""Las Palmas"""
"Catedral Católica ""Cristo Rey""";3170;9;Malecón de Tachina
"Malecón ""Las Palmas""";914,15;7;Choza el mirador
Hotel Colón Palace;2410;11;Delicias el mirador
"Malecón ""Las Palmas""";149,03;1;Hotel Las Palmas
Hotel Colón Palace;2790;10;Michelandia
"Malecón ""Las Palmas""";609,67;4;Mirador El Panecilo
"Malecón ""Las Palmas""";268,95;5;Mirador Farito
"Malecón ""Las Palmas""";294,75;2;Hotel Kennedy Esmeraldas
Hotel Las Palmas;176,87;1;Las Palmas de Esmeraldas
Hotel Las Palmas;271,18;7;El Mirador
Hotel Las Palmas;147,27;1;Malecón de Las Palmas - Patio de Comidas
Las Palmas de Esmeraldas;247,97;3;Cafetería y Restaurante Bolivar
Las Palmas de Esmeraldas;192,81;2;Comics Bar
Las Palmas de Esmeraldas;61,29;1;Kioskos de Playa Las Palmas
Hotel Kennedy Esmeraldas;204,42;1;Skatepark Las Palmas
Hotel Kennedy Esmeraldas;269,85;1;Koko Beach
Hotel Kennedy Esmeraldas;114,6;1;Playa Malecón Las Palmas
Skatepark Las Palmas;343,55;4;PicMe Souvenir Store
Skatepark Las Palmas;159,32;3;Buho's bar
Skatepark Las Palmas;241,29;1;Cevicheria OH! MAR
PicMe Souvenir Store;11,92;1;SunsetPoint Wine and Beer
PicMe Souvenir Store;45,37;1;Bar ermima G
PicMe Souvenir Store;183,08;2;El Rincon Venezolano Restaurante
Museo Regional de Arqueología;277,82;2;Olan's Group Hotel
Museo Regional de Arqueología;22,32;1;Hotel Perla Verde
Museo Regional de Arqueología;794,88;4;Monumento al Bananero
Hotel Perla Verde;303,93;3;RESTAURANTE LAS CARABELAS
Hotel Perla Verde;2180;8;Delicias Andy Maria
Hotel Perla Verde;2010;7;Patio De Comidas
Monumento al Bananero;516,8;4;La Taguara
Monumento al Bananero;927,02;4;Parque Central
Monumento al Bananero;819,18;4;Museo Carlos Mercado Casa de La Cultura Ecuatoriana
Museo Carlos Mercado Casa de La Cultura Ecuatoriana;605,68;4;Plaza Cívica Nelson Estupiñán Bass
Museo Carlos Mercado Casa de La Cultura Ecuatoriana;814,69;2;Monumento los Marimbero
Museo Carlos Mercado Casa de La Cultura Ecuatoriana;1410;5;KFC - Gran Aki
Malecón de Tachina;402,68;1;REFUGIO DE VIDA SILVESTRE MANGLARES ESTUARIO RIO ESMERALDAS
Malecón de Tachina;222,25;2;Parque Central de Tachina
Malecón de Tachina;1230;7;MARINA ECOVIDA
Parque Central de Tachina;911,85;3;NOÃ- PISCINA-RESTAURANT
Parque Central de Tachina;548,86;2;Riviera Resto Bar
Parque Central de Tachina;480,84;7;Restaurant Las Hamacas
MARINA ECOVIDA;895,95;8;Casa Fonseca
MARINA ECOVIDA;2270;10;Hostería Pacific Stone
MARINA ECOVIDA;1060;3;San Luis
Parque Central;385,14;2;Parque Infantil Roberto Luis Cervantes
Parque Central;363,61;3;The Tatoo's Parrilladas
Parque Central;638,85;3;Bogati Esmeraldas
